barangay,city,province,region,urban_or_rural,population_2020
Villamor,Cabarroguis ,Quirino,Region II (Cagayan Valley),R," 2,632 "
Canalate,City of Malolos ,Bulacan,Region III (Central Luzon),R," 3,632 "
Abangan Sur,Marilao,Bulacan,Region III (Central Luzon),U," 10,595 "
Zamora,City of Meycauayan,Bulacan,Region III (Central Luzon),U," 2,370 "
Mabini,Santa Rosa,Nueva Ecija,Region III (Central Luzon),R," 1,819 "
San Leon,Moncada,Tarlac,Region III (Central Luzon),R," 1,402 "
Cauyan,Palauig,Zambales,Region III (Central Luzon),R," 1,142 "
Libertad ,San Narciso,Zambales,Region III (Central Luzon),R, 548 
Tabalong,Santa Cruz,Zambales,Region III (Central Luzon),R, 601 
Concepcion,Alitagtag,Batangas,Region IV-A (CALABARZON),R, 618 
Barangay 2 ,Balayan,Batangas,Region IV-A (CALABARZON),R," 1,449 "
Altura Bata,City of Tanauan,Batangas,Region IV-A (CALABARZON),R," 1,455 "
San Francisco I,City of Dasmariñas,Cavite,Region IV-A (CALABARZON),R," 3,099 "
San Nicolas I,City of Dasmariñas,Cavite,Region IV-A (CALABARZON),R," 2,071 "
San Antonio De Padua II,City of Dasmariñas,Cavite,Region IV-A (CALABARZON),R," 3,062 "
Anabu II-A,City of Imus,Cavite,Region IV-A (CALABARZON),U," 3,382 "
Tartaria,Silang,Cavite,Region IV-A (CALABARZON),U," 15,714 "
Bulajo,Cavinti,Laguna,Region IV-A (CALABARZON),R, 529 
Barangay III-A ,City of San Pablo,Laguna,Region IV-A (CALABARZON),U, 217 
San Roque,City of San Pablo,Laguna,Region IV-A (CALABARZON),U," 3,313 "
Bantolinao,Calauag,Quezon,Region IV-A (CALABARZON),R, 865 
Doongan Ibaba,Catanauan,Quezon,Region IV-A (CALABARZON),R, 750 
San Miguel,Guinayangan,Quezon,Region IV-A (CALABARZON),R, 204 
Esperanza Ibaba,Lopez,Quezon,Region IV-A (CALABARZON),R, 225 
Mabanban,Lopez,Quezon,Region IV-A (CALABARZON),R, 591 
San Carlos,Binangonan,Rizal,Region IV-A (CALABARZON),U," 14,090 "
May-Iba,Teresa,Rizal,Region IV-A (CALABARZON),U," 6,170 "
Lucio Laurel,Gloria,Oriental Mindoro,MIMAROPA Region,R," 2,645 "
Malvar,Naujan,Oriental Mindoro,MIMAROPA Region,R," 1,488 "
Aporawan,Aborlan,Palawan,MIMAROPA Region,R," 4,303 "
Canipo,Magsaysay,Palawan,MIMAROPA Region,R," 1,031 "
San Pablo,Bacacay,Albay,Region V (Bicol Region),R," 1,258 "
Bgy. 37 - Bitano ,City of Legazpi ,Albay,Region V (Bicol Region),U," 7,799 "
West Carisac,Libon,Albay,Region V (Bicol Region),R," 1,049 "
Binatagan ,City of Ligao,Albay,Region V (Bicol Region),R," 3,989 "
Pinagdapugan,Polangui,Albay,Region V (Bicol Region),R, 929 
Dogongan,Daet ,Camarines Norte,Region V (Bicol Region),R," 4,224 "
Manguisoc,Mercedes,Camarines Norte,Region V (Bicol Region),R," 4,550 "
Ponong,Magarao,Camarines Sur,Region V (Bicol Region),R," 1,396 "
Aniog,Sagñay,Camarines Sur,Region V (Bicol Region),R, 790 
Nalayahan,Siruma,Camarines Sur,Region V (Bicol Region),R, 638 
Caloco,Tinambac,Camarines Sur,Region V (Bicol Region),R, 891 
Paraiso,San Miguel,Catanduanes,Region V (Bicol Region),R," 1,111 "
Santa Rosa,Viga,Catanduanes,Region V (Bicol Region),R, 801 
Calanay,Aroroy,Masbate,Region V (Bicol Region),R," 1,527 "
Calumpang,Cawayan,Masbate,Region V (Bicol Region),R," 1,017 "
Moises R. Espinosa,Milagros,Masbate,Region V (Bicol Region),R," 1,049 "
Bunducan,Pio V. Corpuz,Masbate,Region V (Bicol Region),R," 1,264 "
R. Gerona,Bulan,Sorsogon,Region V (Bicol Region),R, 746 
Tabon-Tabon,Irosin,Sorsogon,Region V (Bicol Region),R," 1,623 "
Arcangel,Balete,Aklan,Region VI (Western Visayas),R," 3,616 "
Tinapuay,Banga,Aklan,Region VI (Western Visayas),R, 485 
Aquino,Ibajay,Aklan,Region VI (Western Visayas),R," 3,400 "
Argao,Malay,Aklan,Region VI (Western Visayas),R," 1,291 "
Pinamuk-an,New Washington,Aklan,Region VI (Western Visayas),R," 2,890 "
Butacal,Panay,Capiz,Region VI (Western Visayas),R," 1,177 "
Tabuc,Pontevedra,Capiz,Region VI (Western Visayas),R," 3,821 "
Artuz,Tapaz,Capiz,Region VI (Western Visayas),R," 1,553 "
Pinay Espinosa,Ajuy,Iloilo,Region VI (Western Visayas),R," 1,050 "
Catubig,Badiangan,Iloilo,Region VI (Western Visayas),R, 752 
Janipaan Oeste,Cabatuan,Iloilo,Region VI (Western Visayas),R, 562 
Morubuan,Cabatuan,Iloilo,Region VI (Western Visayas),R, 176 
Cano-an,Estancia,Iloilo,Region VI (Western Visayas),U," 2,805 "
Biri Sur,Leon,Iloilo,Region VI (Western Visayas),R, 627 
Cawayanan,Miagao,Iloilo,Region VI (Western Visayas),R, 285 
Turog-Turog,Oton,Iloilo,Region VI (Western Visayas),R, 711 
Igang,Pototan,Iloilo,Region VI (Western Visayas),R," 3,946 "
Fernando Parcon Ward ,Pototan,Iloilo,Region VI (Western Visayas),U," 1,535 "
Imbang Pequeño,San Enrique,Iloilo,Region VI (Western Visayas),U," 1,868 "
Bucaya,San Joaquin,Iloilo,Region VI (Western Visayas),R," 1,742 "
Apelo,Sara,Iloilo,Region VI (Western Visayas),R, 823 
Bagacay,Tigbauan,Iloilo,Region VI (Western Visayas),R," 1,880 "
Bagunanay,Tubungan,Iloilo,Region VI (Western Visayas),R, 193 
Almaria,Anda,Bohol,Region VII (Central Visayas),R, 400 
Rizal,Bilar,Bohol,Region VII (Central Visayas),R, 542 
Patrocinio,Cortes,Bohol,Region VII (Central Visayas),R, 855 
Cabanbanan,Dimiao,Bohol,Region VII (Central Visayas),R, 348 
Nausok,Jagna,Bohol,Region VII (Central Visayas),R, 327 
Alegria Norte,Loay,Bohol,Region VII (Central Visayas),R, 277 
Tawala,Panglao,Bohol,Region VII (Central Visayas),U," 5,660 "
Mabasa,Argao,Cebu,Region VII (Central Visayas),R," 1,487 "
Prenza,Balamban,Cebu,Region VII (Central Visayas),R," 3,542 "
To-ong,San Remigio,Cebu,Region VII (Central Visayas),R," 1,360 "
Bakyawan,Tuburan,Cebu,Region VII (Central Visayas),R, 890 
Calamba,City of Guihulngan,Negros Oriental,Region VII (Central Visayas),R," 3,258 "
Trinidad,City of Guihulngan,Negros Oriental,Region VII (Central Visayas),U," 6,318 "
Lower Cabangcalan,Lazi,Siquijor,Region VII (Central Visayas),R," 1,053 "
Candanay Norte,Siquijor ,Siquijor,Region VII (Central Visayas),R," 1,016 "
Canjaway,City of Borongan ,Eastern Samar,Region VIII (Eastern Visayas),R, 606 
Iwayan,Oras,Eastern Samar,Region VIII (Eastern Visayas),R, 581 
Buenavista,Abuyog,Leyte,Region VIII (Eastern Visayas),R, 687 
Guindaohan,Barugo,Leyte,Region VIII (Eastern Visayas),R, 737 
Tinago District ,Bato,Leyte,Region VIII (Eastern Visayas),R," 2,459 "
Cagangon,Burauen,Leyte,Region VIII (Eastern Visayas),R, 877 
Laguiwan,Burauen,Leyte,Region VIII (Eastern Visayas),R, 265 
Poponton,Dagami,Leyte,Region VIII (Eastern Visayas),R, 452 
Odiong,Javier,Leyte,Region VIII (Eastern Visayas),R," 1,313 "
San Juan,Matalom,Leyte,Region VIII (Eastern Visayas),R, 640 
Paril,San Isidro,Leyte,Region VIII (Eastern Visayas),R," 1,218 "
Cabacungan,Allen,Northern Samar,Region VIII (Eastern Visayas),R," 2,086 "
Catoto-ogan,Las Navas,Northern Samar,Region VIII (Eastern Visayas),R, 334 
Santa Catalina,Mondragon,Northern Samar,Region VIII (Eastern Visayas),R, 508 
Barangay North ,San Jose,Northern Samar,Region VIII (Eastern Visayas),R," 1,501 "
Zone 4 ,San Roque,Northern Samar,Region VIII (Eastern Visayas),R, 629 
Upper Caynaga,Lope De Vega,Northern Samar,Region VIII (Eastern Visayas),R, 250 
Tinaplacan,City of Calbayog,Samar,Region VIII (Eastern Visayas),R," 1,687 "
Dalosdoson,Hinabangan,Samar,Region VIII (Eastern Visayas),R, 328 
San Vicente,Bontoc,Southern Leyte,Region VIII (Eastern Visayas),R, 931 
Katipunan,Silago,Southern Leyte,Region VIII (Eastern Visayas),R, 728 
Antipolo,City of Dapitan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,457 "
San Roque,Liloy,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R, 655 
Upper Gutalac,Gutalac,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,677 "
Diangas,Baliguian,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R, 493 
Pandan-pandan,Alicia,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 1,379 "
Talaptap,Alicia,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 1,298 "
Sisay,Tungawan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 2,184 "
Taglibas,Tungawan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 1,275 "
Bato,Baroy,Lanao del Norte,Region X (Northern Mindanao),R, 398 
Topocon,Sultan Naga Dimaporo,Lanao del Norte,Region X (Northern Mindanao),R, 947 
Gumagamot,Lala,Lanao del Norte,Region X (Northern Mindanao),R," 2,065 "
Inagongan,Tagoloan,Lanao del Norte,Region X (Northern Mindanao),R," 3,578 "
Panalawan,Tagoloan,Lanao del Norte,Region X (Northern Mindanao),R," 1,740 "
Mat-i,Claveria,Misamis Oriental,Region X (Northern Mindanao),R," 4,671 "
Kinawitnon,Island Garden City of Samal,Davao del Norte,Region XI (Davao Region),R," 2,559 "
Batuganding,Sarangani,Davao Occidental,Region XI (Davao Region),R," 2,209 "
Kibugtongan,Carmen,Cotabato,Region XII (SOCCSKSARGEN),R," 3,824 "
Bual,Tulunan,Cotabato,Region XII (SOCCSKSARGEN),U," 6,114 "
Luhong,Antipas,Cotabato,Region XII (SOCCSKSARGEN),R," 1,970 "
Kayupo,Kiamba,Sarangani,Region XII (SOCCSKSARGEN),R," 4,778 "
New Visayas,San Francisco,Agusan del Sur,Region XIII (Caraga),R," 1,962 "
Tacub,Marantao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 703 
Lilod Tubok,Tamparan,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 720 
Bangon,Buadiposo-Buntong,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 483 
Pitatanglan,Lumbayanague,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 967 
Buton Mahablo,Parang,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,187 "
Pababag,Bongao ,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,886 "
Likud Dampong,South Ubian,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 676 
Maraning,Languyan,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,767 "
Bayanga Sur,Matanog,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 4,515 "
Boliok,Sultan Mastura,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,196 "
Kilalan,Talitay,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,059 "
Burayoc,Pagudpud,Ilocos Norte,Region I (Ilocos Region),R," 1,461 "
Mumulaan,Paoay,Ilocos Norte,Region I (Ilocos Region),R, 873 
Santa Cecilia,San Nicolas,Ilocos Norte,Region I (Ilocos Region),R," 2,043 "
Labut,Magsingal,Ilocos Sur,Region I (Ilocos Region),R, 788 
Poblacion West,Nagbukel,Ilocos Sur,Region I (Ilocos Region),R, 578 
Margaay,Narvacan,Ilocos Sur,Region I (Ilocos Region),U," 2,607 "
Sarmingan,Narvacan,Ilocos Sur,Region I (Ilocos Region),R, 640 
Candalican,Santa Cruz,Ilocos Sur,Region I (Ilocos Region),R, 530 
Palali Sur,Santa Lucia,Ilocos Sur,Region I (Ilocos Region),R, 918 
Pila West,Santa Lucia,Ilocos Sur,Region I (Ilocos Region),R, 601 
Cabangtalan,Sinait,Ilocos Sur,Region I (Ilocos Region),R, 536 
Pagbennecan,Balaoan,La Union,Region I (Ilocos Region),R, 872 
Bangcusay,City of San Fernando ,La Union,Region I (Ilocos Region),R," 1,599 "
Baraoas,City of San Fernando ,La Union,Region I (Ilocos Region),R," 1,151 "
Poblacion,Mabini,Pangasinan,Region I (Ilocos Region),U," 2,837 "
Cawayan Bogtong,Malasiqui,Pangasinan,Region I (Ilocos Region),R," 3,176 "
Batchelor West,Natividad,Pangasinan,Region I (Ilocos Region),R," 1,334 "
Naguilayan,City of San Carlos,Pangasinan,Region I (Ilocos Region),R," 1,784 "
Supo,City of San Carlos,Pangasinan,Region I (Ilocos Region),R," 1,607 "
Tulong,City of Urdaneta,Pangasinan,Region I (Ilocos Region),R," 1,438 "
Jurisdiction,Alcala,Cagayan,Region II (Cagayan Valley),R," 1,522 "
Cabaritan East,Ballesteros,Cagayan,Region II (Cagayan Valley),R," 1,926 "
Bical,Peñablanca,Cagayan,Region II (Cagayan Valley),R," 1,883 "
Apayao,Piat,Cagayan,Region II (Cagayan Valley),R, 969 
San Ramon,Mallig,Isabela,Region II (Cagayan Valley),R, 894 
Lepanto,Quezon,Isabela,Region II (Cagayan Valley),R," 1,806 "
Aliaga,Bambang,Nueva Vizcaya,Region II (Cagayan Valley),R," 1,940 "
Escoting,Diadi,Nueva Vizcaya,Region II (Cagayan Valley),R, 991 
Runruno,Quezon,Nueva Vizcaya,Region II (Cagayan Valley),U," 5,548 "
Landingan,Nagtipunan,Quirino,Region II (Cagayan Valley),R," 1,952 "
Padre Dandan ,Dinalupihan,Bataan,Region III (Central Luzon),R, 189 
Poblacion,Morong,Bataan,Region III (Central Luzon),U," 7,329 "
Guinhawa,City of Malolos ,Bulacan,Region III (Central Luzon),U," 4,217 "
Lias,Marilao,Bulacan,Region III (Central Luzon),U," 15,256 "
Poblacion,Pandi,Bulacan,Region III (Central Luzon),U," 8,679 "
Calasag,San Ildefonso,Bulacan,Region III (Central Luzon),U," 3,705 "
Kaingin ,Bongabon,Nueva Ecija,Region III (Central Luzon),R," 2,735 "
Bibiclat,Cuyapo,Nueva Ecija,Region III (Central Luzon),R," 1,407 "
Rio Chico,General Tinio,Nueva Ecija,Region III (Central Luzon),U," 11,240 "
San Roque,Jaen,Nueva Ecija,Region III (Central Luzon),R," 2,210 "
Homestead I,Talavera,Nueva Ecija,Region III (Central Luzon),R," 2,041 "
San Vicente,Lubao,Pampanga,Region III (Central Luzon),R," 1,391 "
San Vicente,Magalang,Pampanga,Region III (Central Luzon),R," 4,305 "
Nueva Victoria,Mexico,Pampanga,Region III (Central Luzon),R," 2,285 "
New Salem,Gerona,Tarlac,Region III (Central Luzon),R," 1,233 "
Cabog,Dingalan,Aurora,Region III (Central Luzon),R," 3,502 "
Maligaya,Dipaculao,Aurora,Region III (Central Luzon),R, 822 
Dela Paz,Batangas City ,Batangas,Region IV-A (CALABARZON),R," 2,726 "
Tinga Itaas,Batangas City ,Batangas,Region IV-A (CALABARZON),R," 3,060 "
Munting Pulo,City of Lipa,Batangas,Region IV-A (CALABARZON),R," 4,853 "
Taywanak Ilaya,Alfonso,Cavite,Region IV-A (CALABARZON),U," 1,664 "
Queens Row West,City of Bacoor,Cavite,Region IV-A (CALABARZON),U," 10,610 "
Barangay 38-A,City of Cavite,Cavite,Region IV-A (CALABARZON),R, 684 
Anabu II-D,City of Imus,Cavite,Region IV-A (CALABARZON),U," 5,273 "
Tanzang Luma V,City of Imus,Cavite,Region IV-A (CALABARZON),U," 2,173 "
Maguyam,Silang,Cavite,Region IV-A (CALABARZON),U," 13,364 "
Iruhin East,City of Tagaytay,Cavite,Region IV-A (CALABARZON),R," 1,122 "
Kanlurang Bukal,Liliw,Laguna,Region IV-A (CALABARZON),R," 4,423 "
Banca-banca,Nagcarlan,Laguna,Region IV-A (CALABARZON),R," 1,394 "
Magsaysay,City of San Pedro,Laguna,Region IV-A (CALABARZON),U," 12,793 "
Bagong Pag-Asa ,Siniloan,Laguna,Region IV-A (CALABARZON),R, 636 
Danlagan Cabayao,Guinayangan,Quezon,Region IV-A (CALABARZON),R, 265 
Villa Tañada,Gumaca,Quezon,Region IV-A (CALABARZON),R, 151 
Cagacag,Lopez,Quezon,Region IV-A (CALABARZON),R, 741 
Patnanungan Norte,Patnanungan,Quezon,Region IV-A (CALABARZON),R," 1,999 "
Bañadero,Polillo,Quezon,Region IV-A (CALABARZON),R," 2,154 "
Maligaya ,San Narciso,Quezon,Region IV-A (CALABARZON),R," 1,779 "
Balubal,Sariaya,Quezon,Region IV-A (CALABARZON),U," 5,304 "
Manato Central,Tagkawayan,Quezon,Region IV-A (CALABARZON),R, 289 
Laiban,Tanay,Rizal,Region IV-A (CALABARZON),U," 2,332 "
Caganhao,Boac ,Marinduque,MIMAROPA Region,R," 1,117 "
Mataas Na Bayan ,Boac ,Marinduque,MIMAROPA Region,R, 540 
Bagumbayan II,Bongabong,Oriental Mindoro,MIMAROPA Region,R," 1,396 "
Cambunang ,Bulalacao,Oriental Mindoro,MIMAROPA Region,R," 3,056 "
Managpi,City of Calapan ,Oriental Mindoro,MIMAROPA Region,R," 2,945 "
Masaguing,Naujan,Oriental Mindoro,MIMAROPA Region,R, 471 
Piñahan,Naujan,Oriental Mindoro,MIMAROPA Region,R," 1,582 "
Rosario,Pinamalayan,Oriental Mindoro,MIMAROPA Region,R," 1,735 "
San Narciso,Victoria,Oriental Mindoro,MIMAROPA Region,R," 2,001 "
Talisay,Calatrava,Romblon,MIMAROPA Region,R," 1,345 "
Campalingo,San Fernando,Romblon,MIMAROPA Region,R," 1,677 "
Tagaytay,Camalig,Albay,Region V (Bicol Region),U," 6,659 "
San Roque,Polangui,Albay,Region V (Bicol Region),R," 1,615 "
Ubang,Capalonga,Camarines Norte,Region V (Bicol Region),R," 2,234 "
Malatap,Labo,Camarines Norte,Region V (Bicol Region),R," 2,704 "
Iraya Sur,San Vicente,Camarines Norte,Region V (Bicol Region),R, 367 
Polungguitguit,Santa Elena,Camarines Norte,Region V (Bicol Region),R," 1,578 "
Santa Teresita,Baao,Camarines Sur,Region V (Bicol Region),R," 2,720 "
Cagmaslog,Buhi,Camarines Sur,Region V (Bicol Region),R, 773 
Iraya,Buhi,Camarines Sur,Region V (Bicol Region),R," 3,178 "
Dalipay,Milaor,Camarines Sur,Region V (Bicol Region),R," 2,394 "
Sagrada,Minalabac,Camarines Sur,Region V (Bicol Region),R," 2,829 "
San Jose,Minalabac,Camarines Sur,Region V (Bicol Region),R," 1,923 "
Poblacion Ilaod,Ragay,Camarines Sur,Region V (Bicol Region),R," 1,816 "
San Vicente ,San Jose,Camarines Sur,Region V (Bicol Region),R, 152 
Buenavista,Baras,Catanduanes,Region V (Bicol Region),R, 337 
Osmeña,Baras,Catanduanes,Region V (Bicol Region),R, 559 
Buenavista,Viga,Catanduanes,Region V (Bicol Region),R, 839 
San Roque ,Viga,Catanduanes,Region V (Bicol Region),R, 931 
Sawmill,Milagros,Masbate,Region V (Bicol Region),R," 1,327 "
Ki-Romero,San Pascual,Masbate,Region V (Bicol Region),R," 1,487 "
San Roque,Santa Magdalena,Sorsogon,Region V (Bicol Region),R," 1,185 "
Poblacion,Nabas,Aklan,Region VI (Western Visayas),U," 2,121 "
Dongon West,Numancia,Aklan,Region VI (Western Visayas),R," 2,190 "
Nalihawan,Hamtic,Antique,Region VI (Western Visayas),R, 292 
Maria,Laua-An,Antique,Region VI (Western Visayas),R," 1,359 "
Paz,Libertad,Antique,Region VI (Western Visayas),R, 760 
San Rafael,San Remigio,Antique,Region VI (Western Visayas),R," 1,263 "
East Villaflores,Ma-Ayon,Capiz,Region VI (Western Visayas),R," 1,637 "
Lanipga,Panay,Capiz,Region VI (Western Visayas),R," 1,041 "
Binalud,Alimodian,Iloilo,Region VI (Western Visayas),R," 1,081 "
Ingwan,Alimodian,Iloilo,Region VI (Western Visayas),R, 495 
Igbong,Barotac Nuevo,Iloilo,Region VI (Western Visayas),R, 895 
Binon-an,Batad,Iloilo,Region VI (Western Visayas),R," 3,442 "
Agba-o,Bingawan,Iloilo,Region VI (Western Visayas),R, 713 
Batuan Ilaud,Oton,Iloilo,Region VI (Western Visayas),R, 938 
Buray,Oton,Iloilo,Region VI (Western Visayas),U," 6,727 "
Bgy. 13 Pob.,San Miguel,Iloilo,Region VI (Western Visayas),R, 533 
Bakabak,Sara,Iloilo,Region VI (Western Visayas),R," 1,363 "
Poblacion Ilawod,Sara,Iloilo,Region VI (Western Visayas),U," 1,764 "
Igdampog Norte,Tubungan,Iloilo,Region VI (Western Visayas),R, 175 
Balingasag,City of Bago,Negros Occidental,Region VI (Western Visayas),R," 4,822 "
Barangay I ,City of Himamaylan,Negros Occidental,Region VI (Western Visayas),R," 1,678 "
Bulwangan,Hinoba-an,Negros Occidental,Region VI (Western Visayas),R," 4,152 "
Punta Mesa,Manapla,Negros Occidental,Region VI (Western Visayas),U," 7,529 "
Old Sagay,City of Sagay,Negros Occidental,Region VI (Western Visayas),U," 16,334 "
Mclain,Buenavista,Guimaras,Region VI (Western Visayas),R," 1,276 "
Cabungahan,San Lorenzo,Guimaras,Region VI (Western Visayas),R," 1,464 "
Hanopol Este,Balilihan,Bohol,Region VII (Central Visayas),R, 408 
Bicao,Carmen,Bohol,Region VII (Central Visayas),R," 2,603 "
Santo Niño,Danao,Bohol,Region VII (Central Visayas),R, 892 
Catungawan Sur,Guindulman,Bohol,Region VII (Central Visayas),R," 2,120 "
Ilaya,Inabanga,Bohol,Region VII (Central Visayas),R, 430 
Tambook,Inabanga,Bohol,Region VII (Central Visayas),R, 506 
Faraon,Jagna,Bohol,Region VII (Central Visayas),R, 560 
Poblacion,Pilar,Bohol,Region VII (Central Visayas),R," 3,192 "
Bayog,President Carlos P. Garcia,Bohol,Region VII (Central Visayas),R, 247 
Manga,Alcantara,Cebu,Region VII (Central Visayas),R," 2,102 "
Mayana,City of Naga,Cebu,Region VII (Central Visayas),R," 1,460 "
Canduling,Ronda,Cebu,Region VII (Central Visayas),R," 1,364 "
Santa Cruz,San Francisco,Cebu,Region VII (Central Visayas),U," 6,035 "
Barangay IV ,Tuburan,Cebu,Region VII (Central Visayas),R, 219 
Balaas,Manjuyod,Negros Oriental,Region VII (Central Visayas),R," 1,004 "
Santa Cruz Viejo,City of Tanjay,Negros Oriental,Region VII (Central Visayas),U," 5,063 "
Lotuban,Zamboanguita,Negros Oriental,Region VII (Central Visayas),R," 2,131 "
Can-ilay,Can-Avid,Eastern Samar,Region VIII (Eastern Visayas),R," 1,230 "
Pagbabangnan,Guiuan,Eastern Samar,Region VIII (Eastern Visayas),R, 559 
Malinao,Taft,Eastern Samar,Region VIII (Eastern Visayas),R, 710 
Cebuana,Bato,Leyte,Region VIII (Eastern Visayas),R, 249 
Batug,Macarthur,Leyte,Region VIII (Eastern Visayas),R, 641 
Hinagbuan,Palompon,Leyte,Region VIII (Eastern Visayas),R, 449 
District 4 ,Pastrana,Leyte,Region VIII (Eastern Visayas),R," 1,519 "
Guindag-an,Tanauan,Leyte,Region VIII (Eastern Visayas),R, 902 
Cangcahipos,Laoang,Northern Samar,Region VIII (Eastern Visayas),R, 925 
Tarusan,Laoang,Northern Samar,Region VIII (Eastern Visayas),R, 374 
Barangay 1 ,San Jose De Buan,Samar,Region VIII (Eastern Visayas),R," 1,904 "
Rizal,City of Maasin ,Southern Leyte,Region VIII (Eastern Visayas),R," 2,061 "
Punta,City of Dipolog ,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 3,134 "
Kamarangan,Sibuco,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R, 536 
Tabayo,Siocon,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 3,379 "
Cuatro-cuatro,Dumalinao,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 522 
Lower Salug Daku,Mahayag,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 2,366 "
Kahayagan,Midsalip,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 342 
Piwan,Midsalip,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 502 
Bogo Calabat,Josefina,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,230 "
Balong-balong,Pitogo,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,375 "
Magsaysay,Roseller Lim,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 1,885 "
San Isidro,Damulog,Bukidnon,Region X (Northern Mindanao),R, 836 
Poblacion,Kadingilan,Bukidnon,Region X (Northern Mindanao),U," 6,309 "
Dagat-Kidavao,City of Valencia,Bukidnon,Region X (Northern Mindanao),U," 5,510 "
Looc,Catarman,Camiguin,Region X (Northern Mindanao),R, 723 
Lindongan,Baroy,Lanao del Norte,Region X (Northern Mindanao),R," 1,067 "
Bangco,Sultan Naga Dimaporo,Lanao del Norte,Region X (Northern Mindanao),R," 1,377 "
Koreo,Sultan Naga Dimaporo,Lanao del Norte,Region X (Northern Mindanao),R," 2,033 "
Camp 1,Maigo,Lanao del Norte,Region X (Northern Mindanao),R, 599 
Malibacsan,Jimenez,Misamis Occidental,Region X (Northern Mindanao),R, 544 
Estrella,Sinacaban,Misamis Occidental,Region X (Northern Mindanao),R, 776 
